sku,name,brand,category_hint,vehicle_make,vehicle_model,year,oem_cross_ref,replaced_by,price,stock,notes
P00746,aceite 5w-30 Sintetico,Bosch,engine_oil,Yamaha,NMAX,2018,OEM 38445,,$45.885,8,
P00425,Disco de Freno 2 2017,Wix,brake_disc,,2,2017,S4793,,COP 33896,5,
SKU-0839,Past. Freno Wix,Wix,brake_pad,Nissan,Sentra,,8179865,,53386,16,
P00356,Sachs Amort. Chevrolet Spark 2011,Sachs,,,Spark,,4216767,,13247,39,
P00122,Filtro de gasolina Hilux 2020,Gates,,Toyota,,,,,163349,36,
SKU-0077,BRAKE PADS Gol 2016,,brake_pad,Volkswagen,Gol,,92113-71909,,COP 7628,47,
SKU-0171,SKF Disco de Freno,SKF,brake_disc,Renault,,2021,OEM 69013,,$69.428,0,
SKU-0126,Coolant Purflux,Purflux,coolant,,Hilux,2016,97996-24472,,13279,0,
SKU-0271,Filtro de aceite motor Sentra 2015 Bosch,,,Nissan,Sentra,2015,A2502,,165631,2,
SKU-0441,ROTOR Generic,Generic,,Chevrolet,Spark,2013,,,$8.596,agotado,
M-0409,Drive Chain NMAX 2018,,chain,,NMAX,2018,W6768,,163486,6,
SKU-0028,Oil Filt. Bajaj Pulsar 2014,Mann,oil_filter,Bajaj,,2014,,,68249,agotado,
SKU-0384,F.Filter Hyundai Accent 2014 SKF,SKF,,Hyundai,Accent,2014,98652-46394,,12534.00,5,
SKU-0638,ACEITE MOTOR 5W-30 Sintetico,Gates,engine_oil,,,2011,4512964,,$ 46010,1,
SKU-0222,Coolant,Mahle,,,GN125,2012,97575-87879,,163884,60,
P00129,brake pad set GN125 Purflux,Purflux,brake_pad,Suzuki,GN125,2012,99185-22484,,318816.00,41,
SKU-0845,Bujia NGK CB125 standard,TRW,,,,,,,320294.00,21,ojo: variante
P00051,BEARING Chevrolet Sail,Valeo,wheel_bearing,Chevrolet,Sail,2015,5493991,,34364,6,
SKU-0488,Liquido de Frenos TRW,TRW,brake_fluid,Renault,Sandero,,6659120,,$ 84546,37,
SKU-0044,Kit de Embrague Chevrolet Spark 2018 Monroe,Monroe,,Chevrolet,Spark,2018,7536674,,10039.00,42,
M-0735,Liquido Refrigerante TRW,,coolant,,Sandero,2019,S9810,,10904,few,
P00347,Filtro A/C Mazda 3 2018,Champion,cabin_filter,,3,2018,94901-36824,,$20.673,15,
SKU-0686,PAST. FRENO Boxer Dayco,Dayco,,Bajaj,Boxer,2015,95088-42413,,16092.00,27,
SKU-0510,TRW Fuel FFilter Accent,TRW,,Hyundai,Accent,2014,,,COP 44243,,
C-0831,Filtro Ac. Toyota Hilux 2018,Denso,oil_filter,Toyota,Hilux,,90324-32486,,14699,43,
SKU-0679,Champion Bujia Toyota Yaris 2019,Champion,,Toyota,Yaris,2019,2730956,,46056,39,
P00110,kit arrastre XR150 Champion,Champion,,Honda,XR150,2018,98405-21989,,69489,25,
P00642,TRW Air Filt AKT NKD125 2015,TRW,air_filter,AKT,NKD125,2015,S3815,,$241.563,28,
SKU-0574,Battery Renault Sandero,Generic,battery,Renault,Sandero,2017,,,53206,31,
SKU-0030,Coolant Concentrate,Fram,,,CB125,,W5232,,240333,,
P00693,OIL FILTER Bosch,Bosch,,Kia,Rio,,,,$ 17278,29,
REF0532,Air Filt NMAX 2020,OEM,,Yamaha,NMAX,,B1124,,$50.104,49,
SKU-0160,Monroe Pastillas de Freno Pulsar,,,Bajaj,Pulsar,,A3806,,17345,,
A-0802,Chain Kit Yamaha FZ16 Generic,Generic,,Yamaha,FZ16,2015,94310-14986,SKU-0801,$165.154,60,descontinuado
P00066,Correa de tiempo Mazda 2 2017,Denso,timing_belt,Mazda,,2017,90624-42928,,66892,13,
SKU-0297,Champiion Filtro Gasolina Logan 2018,Champion,,,Logan,2018,2248504,,COP 67329,3,
SKU-0765,BATERÍA Corolla 2017,,battery,Toyota,Corolla,2017,OEM 43885,,$33.599,14,posible duplicado
REF0083,Pastillas Freno Versa 2014 Purflux,Purflux,brake_pad,,Versa,,97321-87741,,$ 320493,3,
SKU-0661,Pastillas Verssa 2016 Valeo,Valeo,brake_pad,Nissan,Versa,2016,,,COP 239228,agotado,
SKU-0841,Brake Pads Corolla 2015 (front),Monroe,,,,,,,28862.00,few,ojo: variante
A-0367,CADENA DE TRANSMISION Suzuki GN125 2012 Fram,Fram,chain,Suzuki,GN125,,OEM 36575,,10404,,
A-0250,Generic Plumilla Mazda 3,Generic,wiper,Mazda,3,2018,5577116,,32353.00,14,
P00116,Sachs Pastillas de Freno Chevrolet Aveo 2016,Sachs,,Chevrolet,Aveo,,98982-65657,,241855,39,
SKU-0822,filtro de combustible Nissan Versa Generic,Generic,fuel_filter,Nissan,Versa,2014,,,COP 85984,26,reemplazado por SKU-0821
A-0468,Mahle Liq. Frenos,Mahle,brake_fluid,Kia,,2020,9557800,,COP 66636,0,
SKU-0388,ACEITE MOTOR SAE 5W-30 Sintetico,Valeo,,Honda,CB125,,OEM 74896,,52747.00,36,
P00003,Amortiguador GN125 Dayco,Dayco,shock,Suzuki,GN125,,,,17001,27,
SKU-0014,Filtro de gasolina Accent 2014,Gates,fuel_filter,Hyundai,Accent,2014,S3246,,43498,43,
P00355,Generic Fuel Filter Mazda 2 2017,Generic,,Mazda,2,,95528-16866,,$21.078,4,
REF0039,Filtro Combustible Corolla 2013,Champion,,Toyota,,2013,3736752,,$ 21342,51,
SKU-0692,Engine Oil 10w40 Mineral,Mahle,engine_oil,,,2017,OEM 89054,,320163.00,24,
SKU-0072,Pastillas de Freno Volkswagen Gol Champion,Champion,brake_pad,Volkswagen,Gol,2014,92957-93498,,COP 34605,,
REF0445,Liquido Refrigerante SKF,SKF,coolant,Yamaha,NMAX,2022,93614-14207,,119743,23,
SKU-0543,Liq. Frenos Corolla,Gates,brake_fluid,Toyota,Corolla,2018,OEM 37767,,23949,60,
REF0061,Amortiguador Delantero Hengst,Hengst,shock,Renault,Duster,,6199770,,46803,6,
SKU-0677,Valeo Timing belt kit 2 2015,Valeo,timing_belt,Mazda,2,2015,,,27570,14,
B-0815,PASTILLAS DE FRENO Mann,Mann,brake_pad,,Gol,2016,2210406,,120959,46,
P00323,Filtro Aire Motor Versa,SKF,air_filter,Nissan,Versa,2016,3173733,,241555,agotado,
M-0713,Amortiguador Delantero Hyundai Accent 2017 Purflux,Purflux,shock,Hyundai,Accent,2017,91366-64974,,COP 10471,agotado,
SKU-0800,Disco de Freno Renault Duster 2014,Wix,,Renault,Duster,,8512576,P00799,51258,3,descontinuado
SKU-0021,Filtro de aceite motor Versa Monroe,Monroe,,Nissan,Versa,,A9670,,321074,51,
B-0329,Filtro de Aceite Dayco,Dayco,oil_filter,Bajaj,Boxer,,OEM 51128,,$23.836,,
SKU-0177,Limpiaparabrisas Chevrolet Spark 2011 Sachs,Sachs,,Chevrolet,Spark,2011,93653-32680,,$9.820,5,
REF0620,Refrigerante Verde Champion,Champion,coolant,,Pulsar,2014,S8920,,$34.473,,
SKU-0763,Filtro de Aire Renault Sandero 2019,,air_filter,Renault,Sandero,,6412498,,84309,4,rev
SKU-0098,SKF Pinon Suzuki GN125 2012,SKF,,Suzuki,GN125,2012,5326640,,26733.00,0,
SKU-0427,Monroe Lampara H4 12V 60/55W Sandero 2017,Monroe,,,Sandero,2017,6838977,,321388,47,
C-0366,Denso Filtro de Combustible Mazda 3,Denso,fuel_filter,Mazda,3,,96728-58415,,34273,44,
SKU-0690,Fluido de Frenos,Generic,brake_fluid,,Yaris,2017,OEM 63664,,44715,9,
SKU-0114,BATERIA 12V Toyota Hilux 2020 Hengst,Hengst,battery,,Hilux,2020,OEM 38940,,28659,28,
SKU-0455,Filtro de Aire Aveo Bosch,Bosch,,Chevrolet,Aveo,,,,COP 29562,few,
SKU-0784,AMORTIGUADOR TRASERO,Sachs,shock,Yamaha,NMAX,2022,2785705,,69286,46,
P00461,Monroe Liquido Frenos,Monroe,brake_fluid,Kia,Rio,2017,,,30242.00,11,
SKU-0700,Generic oil filt. Chevrolet Spark 2018,Generic,oil_filter,Chevrolet,,,OEM 56450,,$ 16382,18,
P00229,LIQUIDO FRENOS CB125 Purflux,,,,CB125,2016,W2980,,319779,29,
P00397,Gates Disco Toyota Hilux 2020,Gates,,Toyota,Hilux,2020,B9657,,$68.883,30,
SKU-0472,OEM Oil Filter Yamaha NMAX 2018,OEM,oil_filter,Yamaha,NMAX,2018,OEM 13114,,$164.486,32,
P00251,Dayco Kit Clutch Renault Duster 2014,Dayco,clutch_kit,Renault,Duster,2014,,,12947.00,32,
SKU-0570,Lampara 9005 Chevrolet Spark 2010,Brembo,,,Spark,2010,S1339,,COP 45871,57,
SKU-0432,Rodamiento Mazda 2 2019 Brembo,Brembo,,Mazda,2,2019,OEM 49268,,$ 238552,32,
REF0178,Hengst Correa Unica,,serpentine_belt,Toyota,Yaris,,,,$83.547,57,
SKU-0467,Escobilla Spark Brembo,Brembo,wiper,Chevrolet,Spark,,92200-38950,,$7.000,agotado,
P00715,BRAKE DISC Logan 2014,,brake_disc,Renault,Logan,2014,S3565,,$ 32191,28,
REF0236,Lampara H1 Chevrolet Sail Wix,Wix,bulb,,Sail,,W2033,,$119.569,29,
REF0224,NGK Air Filter Honda CB125 2018,NGK,air_filter,Honda,CB125,2018,B4816,,COP 11440,26,
SKU-0808,Sachs Liquido Frenos,Sachs,brake_fluid,Nissan,Versa,2016,96738-72825,,$34.801,42,reemplazado por B-0807
SKU-0094,Coolant,Monroe,coolant,Suzuki,GN125,2014,,,320311.00,53,
M-0150,Champion Pastillas de Freno Toyota Corolla 2018,,,,Corolla,,93532-83978,,50225.00,few,
SKU-0596,Refrigerante Verde,Mann,,,Yaris,2019,OEM 62106,,$23.080,49,
SKU-0295,Coolant,NGK,,Mazda,3,2018,,,119774,agotado,
P00340,Pastillas Freno Honda XR150 Denso,Denso,,Honda,,,,,$23.049,15,
SKU-0153,Lampara H11 Hilux,Valeo,bulb,Toyota,,2015,90802-27956,,321604,12,
SKU-0155,A.Filter Sail 2017 Brembo,Brembo,,Chevrolet,,2017,S1539,,33556,42,
REF0022,Rodamiento de Rueda Versa 2014 Sachs,Sachs,wheel_bearing,Nissan,,2014,OEM 84511,,321329.00,38,
SKU-0424,Sachs Filtro de aceite motor Renault Sandero 2013,Sachs,oil_filter,Renault,,,OEM 47076,,51202,,
SKU-0743,BUJIA DE ENCENDIDO,Brembo,,Yamaha,,2020,OEM 65047,,COP 121632,54,
SKU-0133,Filtro Ac. Yamaha NMAX 2022 Fram,Fram,,Yamaha,NMAX,,,,COP 45497,4,
REF0827,Brake Fluid,Generic,brake_fluid,Mazda,2,2015,OEM 93221,,320622,,
SKU-0443,Pastillas Toyota Hilux 2016 SKF,SKF,brake_pad,,Hilux,2016,,,238718,agotado,
REF0517,coolant concentrate,Wix,,Yamaha,FZ16,2015,B5793,,52212.00,32,
P00264,Monroe Filtro Aceite 3,Monroe,oil_filter,Mazda,3,2014,B6788,,$ 86327,23,
SKU-0774,Filtro Ac. Hyundai Accent 2012 Sachs,Sachs,,Hyundai,,2012,OEM 52382,,COP 9604,55,
P00536,SPARK PLUG Mazda 3,Champion,spark_plug,Mazda,3,2016,S1904,,$ 17365,11,
P00421,Mann PASTILLAS Kia Rio 2015,Mann,,,Rio,2015,OEM 14326,,166523,48,
P00736,Cadena Moto Suzuki GN125 2018 Champion,Champion,,,GN125,2018,,,28975,19,
SKU-0406,Filtro de gasolina Mahle,Mahle,fuel_filter,Nissan,Sentra,2013,OEM 54893,,66855.00,0,
SKU-0525,Monroe bateria Suzuki GN125 2016,Monroe,,,,2016,OEM 35202,,240123,23,
REF0238,Bombilla H7 Gates,Gates,bulb,Chevrolet,,,94656-69670,,$119.513,44,
REF0632,Timing Belt Volkswagen Gol 2011,TRW,timing_belt,Volkswagen,Gol,,1110882,,$17.583,40,
P00773,Pastillas de Freno Renault Sandero 2013 Champion,Champion,,Renault,Sandero,2013,7536094,,$11.057,0,posible duplicado
SKU-0272,Amortiguador Trasero Chevrolet Sail 2017 Purflux,Purflux,shock,Chevrolet,Sail,2017,8777645,,166410,36,
SKU-0345,Cabin Filter Chevrolet Sail,Brembo,,Chevrolet,Sail,,,,$43.410,11,
SKU-0138,KIT CLUTCH 2 Champion,Champion,,Mazda,2,2015,S5379,,238559.00,22,
SKU-0796,correa de distribucion Renault Sandero 2013,Purflux,,Renault,Sandero,2013,5304630,P00795,$28.439,51,descontinuado
SKU-0001,Pastillas Mazda 2 2015 Mahle,Mahle,,,2,2015,93657-92657,,$ 120387,26,
SKU-0844,Amortiguador Duster Trasero,Valeo,,,,,OEM 18228,,84523,39,ojo: variante
REF0665,Kit Clutch Spark SKF,SKF,clutch_kit,Chevrolet,Spark,,95717-50261,,46096,34,
P00249,Liquido Frenos Hengst,Hengst,,Suzuki,GN125,2014,OEM 34305,,8678,agotado,
SKU-0112,Valeo Wiper Blade Chevrolet Aveo,Valeo,wiper,Chevrolet,Aveo,2011,92976-48204,,$ 11109,46,
SKU-0331,FILTRO DE ACEITE MOTOR OEM,OEM,,Honda,XR150,2020,B9724,,$ 239126,53,
REF0294,Monroe Refrigerante,Monroe,coolant,Yamaha,NMAX,,9116628,,$ 45905,,
SKU-0813,Denso Amort. Kia Rio 2015,Denso,shock,Kia,Rio,2015,OEM 72685,,10467,28,
P00560,Valeo Timing Belt Hyundai Accent 2019,Valeo,,Hyundai,,2019,,,45456,33,
SKU-0352,Wix pastillas Volkswagen Gol,Wix,brake_pad,,Gol,2011,W2741,,$ 28935,41,
SKU-0631,disco freno Nissan Sentra 2013 Hengst,Hengst,brake_disc,Nissan,,2013,5286021,,COP 43787,55,
B-0465,O.FILTER Toyota Hilux 2020 Brembo,Brembo,,Toyota,,,,,239894,44,
SKU-0670,PLUMILLAS Toyota Corolla 2015 Wix,Wix,,Toyota,Corolla,2015,4186799,,COP 119761,,
SKU-0349,Piñon Bajaj Boxer 2017 Sachs,Sachs,,Bajaj,Boxer,2017,OEM 10684,,$ 14443,15,
SKU-0050,correa distribucion Dayco,Dayco,timing_belt,,Yaris,2019,6138622,,$20.745,18,
B-0434,Bosch Fluido de Frenos,Bosch,brake_fluid,Kia,,2020,4363506,,10152.00,21,
REF0836,ACUMULADOR Mann,Mann,,Yamaha,NMAX,,,,COP 51980,47,reemplazado por SKU-0835
P00183,Mann Bulb H11 AKT NKD125 2015,Mann,bulb,AKT,NKD125,2015,S4928,,$165.660,39,
REF0617,Denso Anticongelante,Denso,coolant,Volkswagen,Gol,2014,97857-98298,,COP 84652,42,
SKU-0307,ACEITE DE MOTOR 10W40 Mineral,NGK,engine_oil,Yamaha,,2019,,,85706.00,2,
SKU-0495,Bombillo H4 Toyota Yaris 2017,Gates,bulb,Toyota,,,,,51406,34,
SKU-0545,CHAIN KIT AKT NKD125 2017 Hengst,,chain,,NKD125,2017,,,$121.035,21,
P00289,Past. Freno 2 2017 Wix,Wix,brake_pad,Mazda,2,2017,4101049,,$ 10052,58,
SKU-0306,Filtro Habitaculo Hyundai Accent 2012,Champion,cabin_filter,Hyundai,,2012,,,$241.289,22,
REF0493,Liq. Frenos,Hengst,brake_fluid,Toyota,Yaris,2017,3776582,,$46.799,17,
M-0698,NGK Banda de Distribucion 3 2016,NGK,timing_belt,Mazda,3,2016,OEM 77280,,$ 120666,52,
SKU-0667,Kit Cadena Bajaj Boxer 2017,Monroe,chain,Bajaj,Boxer,2017,S8781,,118819,17,
SKU-0533,Filtro de Combustible Toyota Hilux 2012,Bosch,,Toyota,Hilux,,W5365,,8503,43,
C-0674,Aceite 15W40,Wix,engine_oil,Yamaha,NMAX,2020,5474110,,$10.330,14,
SKU-0063,Brembo Bombillo Halogeno H11 Chevrolet Sail 2017,Brembo,,Chevrolet,Sail,,B6350,,85138,13,
SKU-0588,Mahle bateria Aveo,Mahle,battery,Chevrolet,Aveo,2016,S5397,,239893,47,
M-0647,Valeo DISCO DE FRENO DELANTERO,Valeo,brake_disc,Toyota,Yaris,2017,,,COP 320133,agotado,
SKU-0592,Bosch Correa Poly-V Mazda 2 2019,Bosch,,,2,2019,OEM 33378,,$66.615,23,
SKU-0174,Dayco Refrigerante Verde,Dayco,,Nissan,Versa,2014,S7613,,COP 22349,44,
SKU-0776,Bosch Bearing 3 2012,,wheel_bearing,Mazda,3,2012,OEM 97933,,$319.959,38,posible duplicado
SKU-0158,Filtro A/C Sentra Fram,,,Nissan,Sentra,2018,,,86429,43,
SKU-0606,SKF Bombillo Halogeno H4 NKD125,SKF,bulb,AKT,,2015,S1408,,COP 28360,55,
SKU-0473,Timing belt kit Brembo,Brembo,,Kia,Rio,,B6082,,$29.872,12,
SKU-0483,Bujias Toyota Hilux 2020 Dayco,Dayco,spark_plug,Toyota,Hilux,,1301969,,$ 52870,,
REF0363,Bombillo Halogeno H11,Brembo,bulb,Honda,,2014,B9070,,67337,15,
SKU-0043,Filtro Ac. Chevrolet Spark 2018 Purflux,Purflux,oil_filter,,,2018,3751180,,26819,36,
SKU-0829,Monroe Drive Chain Suzuki GN125 2012,Monroe,chain,Suzuki,,2012,,,$68.687,22,
SKU-0779,Past. Freno Volkswagen Gol 2014,Generic,brake_pad,,Gol,,,,66929.00,16,rev
P00403,Spark Plg Duster 2021 Mahle,Mahle,,Renault,Duster,2021,,,$ 240006,few,
SKU-0253,Brake Pads Mazda 3 2012 Generic,Generic,brake_pad,,3,2012,3812591,,COP 9058,few,
P00466,clutch Wix,Wix,,Nissan,Versa,2014,OEM 59604,,16767,53,
P00502,Oil Filter Renault Duster 2019 Monroe,Monroe,,,Duster,2019,,,83661,38,
SKU-0572,Spark Plg Nissan Sentra 2013 Dayco,Dayco,spark_plug,Nissan,Sentra,,OEM 61029,,66309,52,
P00499,Filtro de Combustible Chevrolet Sail,,,Chevrolet,Sail,2015,OEM 34228,,69722,agotado,
SKU-0227,Liquido Frenoos,Sachs,brake_fluid,Nissan,Versa,2014,,,COP 17747,,
SKU-0411,PLUMILLA Kia Rio 2013 Brembo,Brembo,wiper,Kia,Rio,2013,,,50998,14,
M-0764,Shock 2 2019,Dayco,,Mazda,2,2019,OEM 28948,,43881.00,3,posible duplicado
A-0277,Engine Oil 5w-30 x1L OEM,OEM,engine_oil,,CB125,2014,,,10170,26,
SKU-0469,Bateria Renault Duster TRW,TRW,battery,,Duster,2016,3560432,,$9.234,36,
P00076,Oil Filt. Mazda 3 2016 Wix,Wix,,Mazda,,,,,$ 85849,1,
SKU-0571,Amortiguador Volkswagen Gol 2014,Valeo,shock,Volkswagen,,2014,OEM 27532,,13612,agotado,
SKU-0370,Gates Liquido Frenos,Gates,brake_fluid,Chevrolet,,2015,2658798,,$ 22582,53,
SKU-0512,Serpentine Belt Logan 2018,Generic,serpentine_belt,Renault,Logan,2018,98461-60763,,$32.513,47,
REF0125,Foco H1 Yamaha FZ16 2015,Bosch,bulb,Yamaha,,2015,1965736,,27002,34,
SKU-0241,Rodamiento rueda Toyota Corolla 2017,Fram,wheel_bearing,Toyota,Corolla,2017,OEM 79644,,119577,36,
SKU-0564,CORREA DE TIEMPO,SKF,,Nissan,Versa,2014,,,23440,39,
SKU-0386,PASTILLAS DE FRENO 3 2012 Brembo,Brembo,brake_pad,,3,,W1396,,32277.00,53,
P00648,Champion Disco Freno Volkswagen Gol,Champion,brake_disc,,,,6474876,,$ 20128,44,
SKU-0850,Disco Freno Mazda 3 solido,Denso,,,,,OEM 58167,,29369,19,ojo: variante
REF0157,BATERIA,,battery,Toyota,Yaris,2014,1280334,,$33.434,48,
P00218,Rodamiento de Rueda Sentra Hengst,,wheel_bearing,Nissan,Sentra,2015,,,$ 10106,14,
SKU-0192,Headlight Bulb H-7 NMAX Wix,,,Yamaha,NMAX,2022,97546-54871,,35409,51,
REF0524,Mahle Bearing Hyundai Accent,Mahle,wheel_bearing,Hyundai,Accent,2014,OEM 88796,,$ 16872,29,
SKU-0064,brake fluid NMAX Denso,,brake_fluid,Yamaha,NMAX,2022,96537-67216,,$163.911,30,
SKU-0528,AMORTIGUADOR DELANTERO Chevrolet Aveo 2011,OEM,,Chevrolet,Aveo,2011,96771-61491,,240823.00,few,
SKU-0601,NGK Wiper Renault Logan,NGK,,Renault,Logan,2012,,,$ 50651,few,
SKU-0302,ACEITE MOTOR 10W-40 Mineral,Valeo,engine_oil,AKT,NKD125,2019,5114212,,$ 69685,agotado,
M-0394,Amortiguador Delantero Mann,Mann,,,,2017,B6902,,$ 10203,21,
P00799,Brake Rotor Renault Duster Boscch,Bosch,brake_disc,Renault,Duster,2021,,,$7.319,32,
SKU-0109,Amortiguador Delantero Renault Sandero 2013 TRW,TRW,shock,,Sandero,2013,B7027,,COP 32886,38,
C-0758,Disco de freno delantero Toyota Corolla 2015,Valeo,brake_disc,Toyota,Corolla,2015,W7484,,44811,,
REF0744,Correa Distribucion Versa,Purflux,,Nissan,Versa,,OEM 35702,,83646.00,agotado,
REF0710,Filtro de Aire Bajaj Pulsar 2016,Valeo,,Bajaj,Pulsar,2016,,,20705.00,41,
C-0419,Bateria Logan NGK,NGK,battery,Renault,Logan,,7789149,,$66.619,4,
P00618,Clutch Chevrolet Sail 2019 NGK,NGK,,Chevrolet,,2019,97475-39926,,COP 17472,36,
P00211,Filtro Ac. XR150 2016 Gates,Gates,oil_filter,,XR150,2016,,,$35.490,50,
P00781,Rodamiento de Rueda Toyota Hilux 2015,Champion,wheel_bearing,Toyota,Hilux,2015,OEM 75448,,10310,53,posible duplicado
M-0049,Sprocket Yamaha FZ16 2015,Mahle,sprocket,,,2015,93173-27251,,$ 51179,11,
A-0683,Plumillas Chevrolet Sail 2015 Mahle,Mahle,,,Sail,2015,OEM 43125,,COP 51656,0,
A-0165,Champion Rodamiento rueda Toyota Yaris 2019,Champion,wheel_bearing,Toyota,Yaris,2019,,,$84.226,14,
SKU-0017,Drive Belt 2 Wix,Wix,,,,,OEM 39151,,$ 11083,22,
P00492,Monroe headlight bulb H11 AKT NKD125,Monroe,,,NKD125,2019,,,43893,30,
C-0140,PASTILLAS DE FRENO Mazda 3 2014 Mann,Mann,,,3,2014,92209-76162,,$83.948,47,
SKU-0029,Clutch Accent 2014,Purflux,,Hyundai,Accent,2014,,,118977,26,
B-0343,Oil Filter Honda CB125 2016,Sachs,,Honda,CB125,,OEM 50452,,$165.435,,
SKU-0354,Generic Pastillas Renault Sandero 2015,Generic,brake_pad,,Sandero,,96939-31006,,$ 23032,4,
SKU-0716,Dayco BATERIA Sandero 2015,Dayco,battery,Renault,Sandero,2015,OEM 33756,,$6.756,9,
P00186,Lubricante Motor 15W-40 Sintetico Mahle,Mahle,,Yamaha,NMAX,2022,91414-81580,,COP 67443,agotado,
REF0047,drive chain,Monroe,chain,Honda,CB125,2018,,,COP 69477,27,
SKU-0699,Amortiguador NMAX 2020,Brembo,,Yamaha,NMAX,2020,9713072,,67037,,
B-0722,Wiper Renault Logan 2012 Wix,Wix,wiper,,Logan,2012,W5451,,COP 17063,2,
SKU-0266,embrague Mann,Mann,,Renault,Logan,,OEM 80479,,COP 21800,7,
M-0770,O.Filter Chevrolet Aveo 2016 Gates,Gates,oil_filter,,Aveo,2016,B9156,,$85.979,34,posible duplicado
M-0547,Mahle Serpentine Belt Sandero 2019,Mahle,,Renault,Sandero,2019,8561517,,318760.00,24,
SKU-0207,Filtro Combustible Mazda 3 Gates,Gates,,,3,,6626133,,50577,36,
SKU-0541,Foco h7 Spark,,,Chevrolet,Spark,2015,S9831,,28416.00,11,
P00399,Sachs Foco h7 CB125,Sachs,bulb,,,2020,S9077,,COP 16820,16,
SKU-0025,Valeo FILTRO DE ACEITE Suzuki GN125 2012,,oil_filter,,GN125,2012,94744-70158,,$13.358,18,
SKU-0834,COOLANT CONCENTRATE Brembo,Brembo,coolant,Mazda,3,2016,,SKU-0833,$ 164623,12,descontinuado
SKU-0042,Cabin Filter Hyundai Accent,Mahle,,,Accent,2012,96098-77196,,$318.728,50,
SKU-0219,Shock Chevrolet Spark 2010,Hengst,shock,Chevrolet,Spark,,OEM 17573,,$ 21502,28,
SKU-0390,Bujias Renault Duster 2016 Sachs,Sachs,spark_plug,Renault,Duster,2016,91270-47415,,28362.00,,
REF0687,Foco 9006 Honda XR150 2018 Fram,,bulb,,XR150,2018,3928166,,$ 11591,41,
A-0828,DOT4 Valeo,Valeo,brake_fluid,Mazda,2,2015,99635-44758,,29664.00,16,reemplazado por REF0827
SKU-0191,Monroe Disco Freno Nissan Sentra 2013,Monroe,brake_disc,Nissan,Sentra,2013,,,26819,,
SKU-0006,rodamiento Sandero Wix,Wix,,Renault,Sandero,2013,A8481,,$ 321194,36,
SKU-0724,Denso Plumilla Toyota Corolla,Denso,wiper,,Corolla,,,,163948,37,
SKU-0214,Anticongelante,Denso,coolant,Renault,,2017,W6135,,COP 16887,13,
SKU-0233,TRW Air Filt Chevrolet Aveo 2009,TRW,,Chevrolet,Aveo,2009,,,COP 53615,47,
SKU-0814,shock Rio 2015,Monroe,,Kia,Rio,2015,1663097,,35552,,reemplazado por SKU-0813
SKU-0319,Bateria 12V Chevrolet Spark 2018 NGK,NGK,,Chevrolet,Spark,2018,5359782,,$ 118674,34,
B-0123,Kit de Croche Mazda 3 2014 Generic,Generic,,,3,,,,$22.269,45,
P00705,Brake Fluid Fram,,brake_fluid,Chevrolet,Aveo,,6617527,,21601,0,
C-0359,BUJIA FZ16 2015 OEM,OEM,,Yamaha,,2015,6747019,,COP 51077,0,
SKU-0416,NGK Coolant,NGK,coolant,Kia,,,,,22850,few,
SKU-0055,Purflux Lubricante Motor 10W-40,Purflux,engine_oil,,Rio,,94283-40447,,118158,60,
P00562,Liquido Refrigerante TRW,TRW,coolant,,Versa,2016,95958-70279,,32476,28,
SKU-0118,Foco H-7 Renault Duster 2021 Mann,Mann,bulb,Renault,Duster,,90414-61809,,318594,few,
REF0381,foco H1 NMAX OEM,OEM,bulb,Yamaha,,,OEM 88736,,COP 15384,31,
SKU-0842,Brake Pads Corolla 2015 (rear),Generic,,,,,4899049,,7565.00,57,ojo: variante
P00360,Fuel Filter Hyundai Accent 2012 Hengst,Hengst,fuel_filter,Hyundai,Accent,2012,1586835,,$ 10337,21,
SKU-0486,SKF Air Filter NKD125 2017,SKF,air_filter,AKT,NKD125,,5842218,,11387,13,
SKU-0401,BRAKE DISC Sail 2015 Champion,Champion,brake_disc,Chevrolet,Sail,,A7246,,86299,1,
SKU-0811,TRW Bombillo Halogeno H1 Volkswagen Gol 2011,TRW,bulb,Volkswagen,Gol,2011,OEM 58234,,$66.712,16,
SKU-0377,TRW BEARING,TRW,wheel_bearing,Toyota,Hilux,2020,OEM 97456,,22212,11,
SKU-0460,Fram Correa Unica 3,Fram,serpentine_belt,Mazda,3,,A4453,,$ 45737,34,
SKU-0579,Valeo DOT4,Valeo,,Chevrolet,Sail,2017,W6229,,29237,agotado,
REF0537,Correa de Accesorios Renault Sandero 2017 Bosch,Bosch,serpentine_belt,,Sandero,,W5471,,$15.234,37,
SKU-0131,PASTILLAS DE FRENO FZ16,Brembo,,Yamaha,FZ16,2019,93116-86460,,12395,30,
B-0200,Bombilla H4 FZ16 2015,TRW,,Yamaha,FZ16,2015,W4939,,66493,59,
SKU-0625,Brembo Oil Filt. Aveo 2009,Brembo,oil_filter,Chevrolet,Aveo,2009,,,$165.854,,
SKU-0068,Drive Chain Boxer,Hengst,chain,,,2015,S4702,,321947,54,
P00484,Filtro de gasolina Nissan Versa 2014 OEM,OEM,fuel_filter,Nissan,,2014,,,$ 13700,,
SKU-0672,Filtro Aire Renault Sandero 2013 Monroe,Monroe,air_filter,Renault,Sandero,2013,9942021,,21382,agotado,
REF0704,Fram Wiper Blade Renault Duster,Fram,wiper,Renault,,2019,OEM 53326,,44607.00,few,
